playlist_id,playlist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track.id,time_signature,track.disc_number,track.duration_ms,track.explicit,track.href,track.is_local,track.name,track.popularity,track.preview_url,track.track_number,track.uri,track.album.id,track.album.name,track.album.release_date,track.album.release_date_precision,key_name,mode_name,key_mode
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.765,0.67,6,-4.302,0,0.0666,0.13,9.82e-5,0.0475,0.972,170.029,3jnBFBYBPZ6f6Z4S1kPEqn,4,1,133853,FALSE,https://api.spotify.com/v1/tracks/3jnBFBYBPZ6f6Z4S1kPEqn,FALSE,Rebola Rebola,0,https://p.scdn.co/mp3-preview/414d2b80775ff28d4e6b191d28b512e5552c582b?cid=5980655d195f46ee8995cd0e1dd7f376,1,spotify:track:3jnBFBYBPZ6f6Z4S1kPEqn,60EMhKBVGv6KcPKPn4l6PV,Rebola Rebola,2019-09-20,day,F#,minor,F# minor
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.86,0.862,4,-5.301,1,0.0809,0.476,2.61e-6,0.133,0.891,106.665,27lTJtQPRc5UOT2GBOqXJj,5,1,163500,FALSE,https://api.spotify.com/v1/tracks/27lTJtQPRc5UOT2GBOqXJj,FALSE,Brota na Colômbia Sem Se Apegar,52,https://p.scdn.co/mp3-preview/aa0ce55b772e07172ca1dae045a0a18feb8d2757?cid=5980655d195f46ee8995cd0e1dd7f376,1,spotify:track:27lTJtQPRc5UOT2GBOqXJj,4t1ENd8ehJ9LKb2o994lkz,Brota na Colômbia Sem Se Apegar,2019-08-30,day,E,major,E major
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.852,0.704,1,-6.47,0,0.132,0.111,0.00234,0.0799,0.331,150.02,17iEji81fAWZxIilIjPsCp,4,1,172800,FALSE,https://api.spotify.com/v1/tracks/17iEji81fAWZxIilIjPsCp,FALSE,Sobe Balão,55,https://p.scdn.co/mp3-preview/0e755004912f92a4278bc81bfe254fcfa0df6d5c?cid=5980655d195f46ee8995cd0e1dd7f376,1,spotify:track:17iEji81fAWZxIilIjPsCp,7mL14QfJFVvsuFF4ErWxNI,Sobe Balão,2019-08-13,day,C#,minor,C# minor
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.756,0.816,5,-6.308,0,0.491,0.0922,0,0.0883,0.919,144.933,4QeuyoKLgB6T79HS736eZE,4,1,197903,FALSE,https://api.spotify.com/v1/tracks/4QeuyoKLgB6T79HS736eZE,FALSE,Fui Eu,42,https://p.scdn.co/mp3-preview/810c4940559cb487e81e592c88698fd368614b20?cid=5980655d195f46ee8995cd0e1dd7f376,1,spotify:track:4QeuyoKLgB6T79HS736eZE,3LAUXl5nxBw8u3dKYN5JHm,Fui Eu,2019-08-01,day,F,minor,F minor
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.856,0.824,2,-4.504,1,0.293,0.225,0.00113,0.0748,0.677,149.836,7yfVmOVRrstIgkNPz45tAJ,4,1,137623,FALSE,https://api.spotify.com/v1/tracks/7yfVmOVRrstIgkNPz45tAJ,FALSE,Apimentadíssima,67,https://p.scdn.co/mp3-preview/8019e157de48a3f0ef19095fb63653439e4de7f4?cid=5980655d195f46ee8995cd0e1dd7f376,1,spotify:track:7yfVmOVRrstIgkNPz45tAJ,1HQnMor7tSs0FyDOcSM9fJ,Apimentadíssima,2019-08-16,day,D,major,D major
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.778,0.711,7,-4.144,0,0.115,0.199,0,0.277,0.869,179.943,3Ic4DcDmpnB1WVmTLo6P3a,4,1,209000,FALSE,https://api.spotify.com/v1/tracks/3Ic4DcDmpnB1WVmTLo6P3a,FALSE,Final da Fila,48,https://p.scdn.co/mp3-preview/d47c7dec82dc328386feb8d6e3f9d21e2b32551e?cid=5980655d195f46ee8995cd0e1dd7f376,1,spotify:track:3Ic4DcDmpnB1WVmTLo6P3a,1S9b5ZeiCfur8bbu4oZd7e,Final da Fila,2019-08-28,day,G,minor,G minor
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.853,0.504,11,-6.214,1,0.0624,0.286,4.78e-6,0.0468,0.825,133.067,5i2gH8kbQbfftxFtcycdYZ,4,1,173233,FALSE,https://api.spotify.com/v1/tracks/5i2gH8kbQbfftxFtcycdYZ,FALSE,Brincar de Vida,43,https://p.scdn.co/mp3-preview/322be112d95187b1405dd560ee5ea64597f27fb2?cid=5980655d195f46ee8995cd0e1dd7f376,1,spotify:track:5i2gH8kbQbfftxFtcycdYZ,63S8rhm54QkYx19Go55Pqb,Brincar de Vida,2019-09-13,day,B,major,B major
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.93,0.255,9,-12.709,0,0.49,0.296,0,0.064,0.316,99.95,1eQDP3d0SCsygSqoloROkN,4,1,223242,FALSE,https://api.spotify.com/v1/tracks/1eQDP3d0SCsygSqoloROkN,FALSE,Satélite no Setor,51,https://p.scdn.co/mp3-preview/590abaa5576977c8dd481442ac54d61de12e5f89?cid=5980655d195f46ee8995cd0e1dd7f376,1,spotify:track:1eQDP3d0SCsygSqoloROkN,2X4dcTyPx5HQGdZnwRGYJA,Satélite no Setor,2019-09-03,day,A,minor,A minor
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.877,0.473,2,-3.658,1,0.599,0.571,2.05e-6,0.113,0.185,150.048,56LGQamhRHaKT2DCGzpfCP,4,1,206445,TRUE,https://api.spotify.com/v1/tracks/56LGQamhRHaKT2DCGzpfCP,FALSE,Linda Índia,59,https://p.scdn.co/mp3-preview/317e74d3a9c2eeccd8c17dafb9c83e65fc260e7f?cid=5980655d195f46ee8995cd0e1dd7f376,1,spotify:track:56LGQamhRHaKT2DCGzpfCP,4OuwEKw7d5e9YvEZnoUh5X,Linda Índia,2019-08-23,day,D,major,D major
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.737,0.829,11,-2.043,0,0.36,0.499,0,0.0778,0.803,97.721,3MkRms5Hlkr2p8k2JLFdtc,3,1,158398,FALSE,https://api.spotify.com/v1/tracks/3MkRms5Hlkr2p8k2JLFdtc,FALSE,Pique Gringo,0,https://p.scdn.co/mp3-preview/c52f89d5cf9b0b04db8c62a9543245fcb74cf3db?cid=5980655d195f46ee8995cd0e1dd7f376,1,spotify:track:3MkRms5Hlkr2p8k2JLFdtc,7AVK4tssg7vf8FnSF8plxv,Pique Gringo,2019-09-20,day,B,minor,B minor
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.875,0.954,3,-3.488,0,0.13,0.287,0.00435,0.052,0.889,135.041,3FwDOj8qnE9uQ3HJrDRR05,4,1,160000,FALSE,https://api.spotify.com/v1/tracks/3FwDOj8qnE9uQ3HJrDRR05,FALSE,Fuga nas Cunhadas,43,https://p.scdn.co/mp3-preview/6a895c1e468d3522b651374d583412b0f521a184?cid=5980655d195f46ee8995cd0e1dd7f376,1,spotify:track:3FwDOj8qnE9uQ3HJrDRR05,5FmeU3Tl9fe0hVPjFHB33Y,Fuga nas Cunhadas,2019-09-05,day,D#,minor,D# minor
